@relation Estudiantes_P

@attribute StudentID numeric
@attribute Age numeric
@attribute Gender numeric
@attribute Ethnicity numeric
@attribute ParentalEducation numeric
@attribute StudyTimeWeekly numeric
@attribute Absences numeric
@attribute Tutoring numeric
@attribute ParentalSupport numeric
@attribute Extracurricular numeric
@attribute Sports numeric
@attribute Music numeric
@attribute Volunteering numeric
@attribute GPA numeric
@attribute GradeClass numeric

@data
1001,17,1,0,2,19.833723,7,1,2,0,0,1,0,2.929196,2
1002,18,0,0,1,15.408756,0,0,1,0,0,0,0,3.042915,1
1003,15,0,2,3,4.21057,26,0,2,0,0,0,0,0.112602,4
1004,17,1,0,3,10.028829,14,0,3,1,0,0,0,2.054218,3
1005,17,1,0,2,4.672495,17,1,3,0,0,0,0,1.288061,4
1006,18,0,0,1,8.191219,0,0,1,1,0,0,0,3.084184,1
1007,15,0,1,1,15.60168,10,0,3,0,1,0,0,2.748237,2
1008,15,1,1,4,15.424496,22,1,1,1,0,0,0,1.360143,4
1009,17,0,0,0,4.562008,1,0,2,0,1,0,1,2.896819,2
1010,16,1,0,1,18.444466,0,0,3,1,0,0,0,3.573474,0
1011,17,0,0,1,11.851364,11,0,1,0,0,0,0,2.147172,3
1012,17,0,0,1,7.598486,15,0,2,0,0,0,1,1.559595,4
1013,17,0,1,1,10.038712,21,0,3,1,0,0,0,1.520078,4
1014,17,0,1,2,12.101425,21,0,4,0,1,0,0,1.751581,4
1015,18,1,0,1,11.197811,9,1,2,0,0,0,0,2.396788,3
1016,15,0,0,2,9.728101,17,1,0,0,1,0,0,1.341521,4
1017,18,0,3,1,10.098656,14,0,2,1,1,0,0,2.232175,3
1018,18,1,0,0,3.528238,16,1,2,0,0,0,0,1.384404,4
1019,18,0,1,3,16.254658,29,0,2,1,0,0,1,0.469553,4
1020,17,0,0,1,10.835206,9,0,2,0,0,1,0,2.395784,3
1021,16,1,0,3,2.621597,2,0,3,0,0,0,1,2.778411,2
1022,15,0,0,2,15.323142,25,0,1,1,0,0,0,0.346894,4
1023,16,1,1,0,18.64888,29,1,1,0,0,0,0,0.312546,4
1024,18,1,3,4,18.946138,20,0,2,1,0,0,0,1.770132,4
1025,18,1,0,1,7.380355,15,0,2,0,0,0,0,1.505156,4
1026,16,1,0,3,2.710337,5,0,4,0,0,1,0,2.977852,2
1027,16,0,0,1,10.367993,2,0,2,0,1,0,0,2.948718,2
1028,16,1,0,3,2.252185,8,0,3,0,0,1,0,2.145205,3
1029,18,0,0,0,18.679748,10,0,3,1,0,0,0,2.854804,2
1030,18,0,0,2,3.671593,20,0,3,1,0,0,0,1.519442,4
1031,15,0,2,2,5.055317,12,1,0,0,1,0,0,1.72712,4
1032,15,0,0,3,8.132731,17,0,4,0,0,0,1,1.847535,4
1033,18,0,0,3,7.663289,25,0,1,0,1,0,0,0.384617,4
1034,16,0,3,3,15.893258,21,0,0,1,1,0,0,0.949406,4
1035,16,0,0,3,9.126336,27,1,2,1,1,0,0,1.140959,4
1036,15,0,3,1,3.415365,23,0,1,0,0,0,0,0.261472,4
1037,18,0,0,1,5.344198,26,1,1,0,0,0,0,0.218285,4
1038,15,0,2,1,10.182268,21,1,1,0,1,0,0,1.067764,4
1039,15,1,1,1,2.949078,3,1,1,1,1,0,0,3.018906,1
1040,17,1,2,1,12.233114,21,1,3,1,1,0,0,1.526868,4
1041,17,1,3,2,11.314946,23,1,1,0,0,0,0,1.058287,4
1042,17,0,0,1,14.294046,7,0,2,0,0,0,0,2.625128,2
1043,16,1,3,2,18.754092,12,1,4,0,0,0,0,2.808755,2
1044,18,1,0,1,18.245091,9,0,2,0,1,0,0,2.888892,2
1045,18,1,0,1,18.921512,1,1,3,1,1,0,0,4,0
1046,18,0,0,2,4.894312,7,0,4,0,0,1,0,2.5153,2
1047,18,0,1,2,2.631306,5,0,1,1,0,0,0,2.563765,2
1048,17,0,0,2,6.045534,15,0,2,0,0,0,0,1.703612,4
1049,16,0,1,2,17.901703,17,0,3,0,0,1,0,2.099885,3
1050,16,1,1,1,19.441069,16,0,4,1,0,0,0,2.461047,3
1051,17,1,2,2,17.186499,5,0,3,0,0,0,0,2.935477,2
1052,16,1,2,0,2.200354,12,1,1,1,0,1,0,1.986378,4
1053,17,1,0,1,18.94856,22,0,4,0,0,1,0,1.571544,4
1054,18,0,0,2,8.467161,13,0,1,0,1,0,0,1.664311,4
1055,17,0,0,0,0.186206,29,1,2,1,1,0,0,0.756259,4
1056,18,0,0,1,8.847875,25,0,2,0,1,0,0,0.80277,4
1057,18,1,0,4,0.921383,20,0,2,0,1,1,0,1.342387,4
1058,15,0,0,4,10.877558,29,0,3,1,0,0,0,0.286571,4
1059,17,0,0,1,6.771081,9,1,3,0,1,0,0,2.613839,2
1060,15,1,3,0,9.468699,23,0,3,0,1,0,0,0.929013,4
1061,17,1,1,1,12.263407,10,0,0,1,0,1,0,1.892759,4
1062,17,0,0,1,17.376022,12,0,2,0,0,1,0,2.331262,3
1063,15,0,1,3,13.238032,11,0,3,0,1,0,0,2.234238,3
1064,15,0,0,1,8.680977,8,0,2,0,1,0,0,2.385828,3
1065,17,0,0,2,16.388557,3,1,4,0,0,0,0,3.347357,1
1066,16,0,1,1,18.111643,6,1,3,1,0,0,0,3.261855,1
1067,18,0,0,4,2.395199,23,0,3,0,1,0,0,1.039624,4
1068,15,1,0,1,10.63866,28,0,0,0,1,0,0,0.027819,4
1069,18,1,3,2,5.690239,21,1,3,0,0,1,0,1.329965,4
1070,16,1,2,1,0.941224,1,0,4,0,0,1,0,3.283917,1
1071,16,0,1,2,13.370934,6,0,2,1,0,0,0,2.937454,2
1072,16,1,1,1,17.255416,28,0,3,0,0,1,1,0.738868,4
1073,15,0,1,1,3.258053,8,0,2,1,1,0,0,2.556802,2
1074,16,0,0,3,16.248273,4,1,2,0,0,0,0,3.300929,1
1075,15,1,0,3,17.067915,14,0,3,1,0,1,0,2.200683,3
1076,16,0,0,3,18.286809,17,0,3,0,1,0,0,1.855866,4
1077,18,0,0,2,5.305702,3,0,3,0,0,0,0,2.734401,2
1078,18,1,1,3,18.079061,18,1,1,1,1,0,0,2.131737,3
1079,17,1,0,0,6.413255,19,0,1,0,0,0,0,0.97977,4
1080,18,1,3,1,11.04676,25,0,3,0,1,0,0,0.994325,4
1081,17,0,3,1,1.010149,6,0,1,0,1,0,0,2.0747,3
1082,18,1,2,2,0.877622,25,0,2,0,0,0,0,0.500508,4
1083,15,1,1,1,14.407464,7,0,0,1,1,0,0,2.532438,2
1084,18,0,2,1,8.8896,16,0,1,0,1,0,0,1.463378,4
1085,17,1,0,2,5.125848,12,0,3,1,1,0,0,2.342837,3
1086,17,1,2,3,3.80827,23,0,3,0,0,0,0,1.158846,4
1087,16,1,0,1,13.39907,20,1,1,1,0,1,1,1.523749,4
1088,15,0,2,1,0.008031,27,0,1,0,0,1,0,0,4
1089,18,0,0,1,16.117823,22,0,0,1,0,1,0,1.058622,4
1090,16,0,2,1,1.584992,10,0,2,0,0,1,1,2.22974,3
1091,18,0,3,1,3.829792,26,0,1,0,0,0,1,0.194743,4
1092,18,1,0,2,7.724728,0,0,2,1,1,0,0,3.50692,0
1093,16,0,0,2,9.697175,1,1,3,0,0,0,0,3.552287,0
1094,16,0,3,2,7.099902,16,1,3,0,1,0,0,2.238491,3
1095,16,1,0,1,6.414243,4,0,1,1,1,0,0,2.708472,2
1096,16,1,2,3,19.27832,29,0,3,0,0,0,1,0.732908,4
1097,16,1,1,1,12.831594,29,0,4,0,0,1,0,0.965482,4
1098,18,0,0,2,0.468659,5,0,2,0,1,0,0,2.555233,2
1099,16,0,0,3,8.603518,25,0,2,1,0,1,1,0.744322,4
1100,15,0,0,1,17.500174,24,0,2,0,0,0,0,0.722057,4
1101,17,1,2,1,6.029124,23,1,1,1,1,0,1,1.27123,4
1102,16,1,0,3,1.891127,6,0,3,1,0,1,1,2.526142,2
1103,16,0,1,1,15.167695,27,0,3,1,1,0,0,0.942415,4
1104,18,1,0,2,12.120277,20,1,2,0,1,0,0,1.515639,4
1105,16,1,1,0,11.40625,29,0,3,1,0,0,0,0.648274,4
1106,16,1,2,2,1.071531,14,0,3,0,1,1,1,2.04885,3
1107,16,0,3,1,2.80998,18,0,0,1,0,0,1,0.842296,4
1108,18,1,0,0,12.450988,15,0,1,0,1,0,0,1.464188,4
1109,16,1,2,2,4.156477,24,1,3,1,1,0,0,1.487947,4
1110,17,0,2,1,10.081402,12,1,4,0,0,0,0,2.587566,2
1111,18,0,1,1,10.897634,4,1,3,0,0,0,0,3.220807,1
1112,17,1,3,0,5.670144,2,1,4,0,0,1,0,3.545159,0
1113,18,1,0,1,18.968503,2,0,2,0,0,0,0,3.089599,1
1114,16,0,0,1,16.849282,18,1,1,0,1,1,0,1.919956,4
1115,17,0,2,0,14.44747,13,1,2,0,0,0,0,2.198593,3
1116,18,1,0,3,1.559877,15,0,0,0,0,0,1,0.878213,4
1117,15,1,2,0,2.1226,21,0,3,1,0,1,0,1.340369,4
1118,16,1,2,2,9.855627,16,0,4,0,0,0,0,1.819511,4
1119,18,1,0,1,3.214267,26,0,3,0,1,0,0,0.619351,4
